,Sl.No.,State/UT,Literacy %,Unemployment,Sex Ratio,Greed,Loath,Love,Year,Region,Urbanization,NSDP per capita,Population Density,Homeless prop,Alcohol %,Below poverty line,Total Murders
41,6,Haryana,77.0,8.6,1131.21966,186.5234375,346.6796875,61.5234375,2017.0,N,0.3888888888888889,5.559114527724393,0.6355288157061432,1.846074453697772,31.601900490163466,28.306572,594.7265625
42,7,Jharkhand,71.5,7.7,1051.732826,363.6877828054298,186.65158371040724,76.92307692307692,2017.0,E,0.25233313322054246,1.426540413687715,0.45971849361467243,0.638296130546308,39.35627899282828,122.02269,627.2624434389139
43,8,Karnataka,77.5,4.8,1028.973303,187.21719457013572,329.75113122171945,97.28506787330316,2017.0,S,0.4181717570745654,2.1634105476735788,0.33920778347263425,1.1795041271500377,33.12202990859165,127.94187,614.2533936651583
44,9,Kerala,94.0,11.4,923.0599526,19.03435468895079,93.31476323119776,10.677808727948005,2017.0,S,0.6327472968709669,3.934407892849973,0.8971772637212773,0.33994894886282156,22.551851321018454,23.888278,123.02692664809655
45,10,Madhya Pradesh,73.5,4.5,1068.748717,257.23738626964433,689.8263027295285,224.97932175351528,2017.0,C,0.2839297897413633,0.6800719469081437,0.2615289785722396,1.8164733610370278,40.63172238414493,229.98595,1172.0430107526881
46,11,Maharashtra,83.0,4.9,1081.096013,1438.7096774193549,2335.483870967742,1180.645161290323,2017.0,W,0.4704940473721326,1.1433027751275564,0.39171240734060636,1.7497656282407599,33.81951051481832,195.43505,4954.8387096774195
47,12,Odisha,78.0,7.1,1016.580593,522.4609375,110.3515625,56.640625,2017.0,E,0.17852810351799434,1.595722693983915,0.28588310095242986,0.7651750011232421,43.28766680112546,136.91922,689.453125
48,13,Punjab,77.0,7.8,1111.063434,108.3984375,291.015625,103.515625,2017.0,N,0.3986584911412988,3.7554456451776823,0.5861363726619276,1.5825061824587554,46.31574240303004,22.894461,502.9296875
49,14,Rajasthan,70.5,5.0,1065.277778,403.2258064516129,558.0645161290323,241.93548387096772,2017.0,N,0.25839629732188774,0.9695663066840724,0.2215907596737952,2.393871065574851,26.22642905219891,100.88246000000001,1203.225806451613
50,15,Tamil Nadu,80.5,7.6,1000.266014,166.289592760181,514.1402714932127,143.66515837104072,2017.0,S,0.5128600686224964,1.7691438146660639,0.5781574374509834,0.6773013804292896,32.20231401401994,81.77045000000001,824.0950226244345
51,16,Telangana,80.0,7.6,1012.619503,622.5806451612904,1038.7096774193549,374.1935483870968,2017.0,S,0.4364973806357048,3.5694742270839552,0.32871151083630007,2.2792269482370187,37.05329659945167,31.564134,2035.483870967742
52,17,Uttar Pradesh,70.5,6.4,1091.016716,346.7966573816156,1017.1773444753946,238.62581244196843,2017.0,C,0.23244859135791285,0.18919739106803152,0.9163733563554257,1.4907373856327566,33.26500815366987,588.1186,1602.5998142989788
53,18,West Bengal,78.5,4.6,1046.450183,218.3257918552036,131.78733031674207,19.79638009049774,2017.0,E,0.34546666111365626,0.6664341343550872,1.0821615287542816,1.3956103452584232,36.5558035905045,182.68674,369.9095022624434
54,19,Arunachal Pradesh,71.5,5.9,1062.674095,3.2258064516129035,45.16129032258065,9.67741935483871,2017.0,NE,0.2451046590141796,63.471303173531396,0.017685060243841276,1.1033085752869682,50.30040513234835,4.796543,58.06451612903226
55,20,Delhi,84.0,9.7,1145.464663,86.9140625,212.890625,51.7578125,2017.0,N,0.9887949369715204,13.1223738133527,12.998651382333108,2.4420812367069566,38.125647501403364,16.648402,351.5625
56,21,Goa,88.5,13.9,1021.192053,3.3085194375516958,14.061207609594703,0.8271298593879238,2017.0,W,0.6985583224115334,202.02883355176934,0.41220961642355486,1.9993446920052425,43.91304062924693,0.746616,18.19685690653432
